"","player","i","pos","age","tm","g","mp_per_game","fg","fga","fgpercent","x3p","x3pa","x3ppercent","x2p","x2pa","x2ppercent","efgpercent","ft","fta","ftpercent","orb","drb","trb","ast","stl","blk","tov","pf","ps_g","mp_total","per","tspercent","x3par","ftr","orbpercent","drbpercent","astpercent","stlpercent","blkpercent","tovpercent","usgpercent","ows","dws","ws","ws_48","obpm","dbpm","vorp"
"401","Jason Kidd",2000,"PG",26,"PHO",67,39,5.2,12.8,0.409,0.8,2.5,0.337,4.4,10.3,0.427,0.442,3,3.7,0.829,1.4,5.8,7.2,10.1,2,0.4,3.4,2.2,14.3,2616,18.4,0.498,0.194,0.287,4.2,16.1,40.1,2.6,0.8,19,20,3.7,4.8,8.5,0.156,1.7,2.4,4.1
"402","Jason Kidd",2001,"PG",27,"PHO",77,39.8,5.9,14.2,0.411,0.9,3,0.297,5,11.2,0.442,0.443,4.3,5.2,0.814,1.2,5.2,6.4,9.8,2.2,0.3,3.7,2.2,16.9,3065,19.4,0.51,0.211,0.367,3.3,15.2,41.2,2.8,0.5,18.3,22.7,4.2,5.4,9.6,0.15,2.7,2.1,5.3
"403","Jason Kidd",2002,"PG",28,"NJN",82,37.3,5.4,13.9,0.391,1.4,4.4,0.321,4,9.4,0.424,0.442,2.5,3,0.814,1.6,5.7,7.3,9.9,2.1,0.2,3.5,1.7,14.7,3056,19.1,0.484,0.32,0.217,4.7,17.2,42.5,3,0.5,18.7,22.5,3.1,5.8,8.9,0.14,2.8,2.2,5.4
"404","Jason Kidd",2003,"PG",29,"NJN",80,37.4,6.4,15.6,0.414,1.6,4.6,0.341,4.9,10.9,0.445,0.465,4.2,5,0.841,1.4,4.9,6.3,8.9,2.2,0.3,3.7,1.6,18.7,2989,22.2,0.526,0.297,0.324,4.2,15.1,42.2,3.1,0.6,17.2,25.9,5.5,5.8,11.3,0.182,4.9,2,6.7
"405","Jason Kidd",2004,"PG",30,"NJN",67,36.6,5.5,14.3,0.384,1.4,4.4,0.321,4.1,9.9,0.411,0.433,3.1,3.7,0.827,1.3,5.1,6.4,9.2,1.8,0.2,3.2,1.6,15.5,2450,19.7,0.485,0.306,0.26,4.1,16.5,44.8,2.7,0.4,16.7,24.6,2.8,4.4,7.2,0.141,3.1,1.5,4.1
"408","Jason Kidd",2008,"PG",34,"TOT",80,36.3,3.8,9.9,0.385,1.5,3.9,0.381,2.3,6,0.387,0.46,1.7,2.1,0.818,1.2,6.3,7.5,10.1,1.7,0.3,3.3,2.1,10.8,2906,16.7,0.499,0.393,0.208,3.8,20,44,2.5,0.7,23.5,17.9,2,3.8,5.9,0.097,1.2,1.6,3.5
"409","Jason Kidd",2010,"PG",36,"DAL",80,36,3.6,8.4,0.423,2.2,5.2,0.425,1.4,3.2,0.42,0.554,1,1.2,0.808,0.6,5,5.6,9.1,1.8,0.4,2.4,1.8,10.3,2881,17.2,0.577,0.617,0.148,1.9,15.6,36.4,2.6,0.9,21.4,14.5,4.8,4,8.9,0.148,2.7,1.6,4.6
"410","Jayson Williams",1998,"C",29,"NJN",65,36,4.9,9.9,0.498,0,0.1,0,4.9,9.9,0.501,0.498,3,4.5,0.666,6.8,6.8,13.6,1,0.7,0.8,1.5,3.6,12.9,2343,18.7,0.541,0.006,0.454,20.5,23.2,4.5,1,1.5,10.9,16.1,6.1,2.3,8.4,0.172,2.3,-0.2,2.4
"411","Jeff Hornacek",1992,"SG",28,"PHO",81,38,7.8,15.3,0.512,1,2.3,0.439,6.8,13,0.525,0.546,3.4,3.9,0.886,1.3,3.7,5,5.1,2,0.4,2.1,2.7,20.1,3078,18.9,0.592,0.152,0.254,4,10.3,19.3,2.5,0.6,11,20.9,7.8,3.8,11.6,0.181,4.1,1,5.5
"412","Jeff Malone",1986,"SG",24,"WSB",80,37.4,9.2,19,0.483,0,0.2,0.176,9.2,18.8,0.486,0.484,4,4.6,0.868,0.8,2.8,3.6,2.4,0.9,0.2,2.1,2.3,22.4,2992,16.3,0.533,0.011,0.244,2.4,8,10.9,1.1,0.2,9.1,25.9,3.6,2.5,6.1,0.098,0.6,-1.9,0.5
