"Name","Pos","Team","Week","Date","Opp","Home","Result","Score","Played","Started","RushAtt","RushYds","RushLong","RushTDs","Receptions","RecYds","RecLong","RecTDs","FumLost"
"Frank Gore","RB","IND",9,"11/05","HOU",0,"W","20-14",1,1,17,51,"16",0,3,26,"11",0,0
"Frank Gore","RB","IND",10,"11/12","PIT",1,"L","17-20",1,1,17,54,"9",0,1,7,"7",0,0
"Frank Gore","RB","IND",12,"11/26","TEN",1,"L","16-20",1,1,17,62,"14T",1,2,17,"11",0,0
"Frank Gore","RB","IND",13,"12/03","JAX",0,"L","10-30",1,1,13,61,"16",0,0,0,"0",0,0
"Frank Gore","RB","IND",14,"12/10","BUF",0,"L","7-13",1,1,36,130,"10",0,1,10,"10",0,0
"Frank Gore","RB","IND",15,"12/14","DEN",1,"L","13-25",1,1,10,31,"9",0,3,37,"22",0,0
"Frank Gore","RB","IND",16,"12/23","BAL",0,"L","16-23",1,1,17,68,"12",0,2,18,"14T",1,0
"Frank Gore","RB","IND",17,"12/31","HOU",1,"W","22-13",1,1,24,100,"16",0,3,11,"5",0,0
"Carlos Hyde","RB","SF",1,"09/10","CAR",1,"L","3-23",1,1,9,45,"18",0,6,32,"10",0,0
"Carlos Hyde","RB","SF",2,"09/17","SEA",0,"L","9-12",1,1,15,124,"61",0,3,19,"8",0,0
"Carlos Hyde","RB","SF",3,"09/21","LA",1,"L","39-41",1,1,25,84,"20",2,3,10,"5",0,0
"Carlos Hyde","RB","SF",4,"10/01","ARI",0,"L","15-18",1,1,16,68,"15",0,5,27,"9",0,0
"Carlos Hyde","RB","SF",5,"10/08","IND",0,"L","23-26",1,1,8,11,"6",0,1,7,"7",0,0
"Carlos Hyde","RB","SF",6,"10/15","WAS",0,"L","24-26",1,1,13,28,"7",2,5,47,"12",0,0
"Carlos Hyde","RB","SF",7,"10/22","DAL",1,"L","10-40",1,1,14,68,"16",0,4,20,"11",0,0
"Carlos Hyde","RB","SF",8,"10/29","PHI",0,"L","10-33",1,1,12,25,"12",0,4,22,"7",0,0
"Carlos Hyde","RB","SF",9,"11/05","ARI",1,"L","10-20",1,1,12,41,"11",0,9,84,"18",0,0
"Carlos Hyde","RB","SF",10,"11/12","NYG",1,"W","31-21",1,1,17,98,"28",0,2,6,"6",0,0
"Carlos Hyde","RB","SF",12,"11/26","SEA",1,"L","13-24",1,1,16,47,"14",0,7,21,"7",0,0
"Carlos Hyde","RB","SF",13,"12/03","CHI",0,"W","15-14",1,1,17,54,"18",0,3,12,"4",0,0
"Carlos Hyde","RB","SF",14,"12/10","HOU",0,"W","26-16",1,1,14,78,"31",1,0,0,"0",0,0
"Carlos Hyde","RB","SF",15,"12/17","TEN",1,"W","25-23",1,1,16,25,"8",0,2,14,"8",0,0
"Carlos Hyde","RB","SF",16,"12/24","JAX",1,"W","44-33",1,1,21,54,"10",1,3,19,"10",0,0
"Carlos Hyde","RB","SF",17,"12/31","LA",0,"W","34-13",1,1,15,88,"16",2,2,10,"7",0,1
"Dion Lewis","RB","NE",1,"09/07","KC",1,"L","27-42",1,0,2,9,"5",0,0,0,"0",0,0
"Dion Lewis","RB","NE",2,"09/17","NO",0,"W","36-20",1,0,4,14,"13",0,1,11,"11",0,0
"Dion Lewis","RB","NE",3,"09/24","HOU",1,"W","36-33",1,0,2,5,"3",0,3,12,"5",0,0
"Dion Lewis","RB","NE",4,"10/01","CAR",1,"L","30-33",1,0,4,18,"8T",1,1,9,"9",0,0
"Dion Lewis","RB","NE",5,"10/05","TB",0,"W","19-14",1,0,7,53,"31",0,2,10,"7",0,0
"Dion Lewis","RB","NE",6,"10/15","NYJ",0,"W","24-17",1,1,11,52,"11",1,0,0,"0",0,0
"Dion Lewis","RB","NE",7,"10/22","ATL",1,"W","23-7",1,1,13,76,"25",0,1,6,"6",0,0
